
Zacatecas
Fresnillo
Jerez
Río Grande
Sombrerete
Tlaltenango
Calera
Concepción del Oro
Jalpa
Juchipila
Loreto
Miguel Auza
Nochistlán
Ojocaliente
Pinos
Teúl de González Ortega
Valparaiso
Villanueva
Zacatecas (PDI)
