
290,DELAHAYE 
291,DKW
292,DONKERVOORT
293,EDRAN
294,ELVA 
295,FACEL VEGA
296,FSO
297,GHIA 
298,GIGLIATO 
299,GILLET 
300,GINETTA
301,GRANDIN
302,HAFEI
303,HEULIEZ
304,HILLMAN
305,HINDUSTAN
306,HINO 
307,HISPANO-SUIZA
308,HOMMELL
309,HUDSON 
310,IFA
311,IMPERIAL 
312,INNOCENTI
313,ISDERA 
314,ISO
315,ISOTTA-FRASCHINI 
316,JENSEN 
317,JVA
318,KOENIGSEGG
319,LADA 
320,LAGONDA
321,LEYLAND
322,LISTER 
323,LMX
324,LOTEC
325,LUAZ 
326,LLOYD
327,MAHINDRA 
328,MARCOS 
329,MARTIN 
330,MARUTI 
331,MATRA
332,McLAREN
333,MEGA 
334,MINI 
335,MONTEVERDI
336,MORETTI
337,MORGAN 
338,MOSKVITCH
339,NECKAR 
340,NOBLE
341,NSU
342,OSCA 
343,PACKARD
344,PAGANI 
345,PANHARD ET LEVASSOR
346,PANOZ
347,PERODUA
348,PROTON 
349,PUMA 
350,QVALE
351,RAILEY AND SCOTT 
352,RELIANT
353,ROCHDALE 
354,SAMSUNG
355,SCION
356,SHELBY 
357,SIATA
358,SIMCA
359,SKODA
360,SMART
361,SSANGYOUNG
362,SUNBEAM
363,TALBOT 
364,TATA 
365,TATRA
366,TORNADO
367,TRABANT
368,TUCKER 
369,TURNER 
370,TVR
371,UAZ
372,ULTIMA 
373,UMM
374,VANDEN PLAS
375,VECTOR 
376,VENTURI
377,VOLGA
378,WARTBURG 
379,WILLYS-OVERLAND
380,WOLSELEY 
381,YUE LOONG
382,ZAZ
383,ZIL
384,EDRA 
385,DAELIM 
386,JUNIOR 
387,K & O
388,FUDI 
389,KAR-DAR
390,KEMLITE
391,KIEFER 
392,KING LONG
393,KTM
394,KYMCO
395,KYNEDYNE 
396,LAHDEN AUTOKORI
397,LAMBRETTA
398,LAVERDA
399,LEER
400,LEM
401,LIFAN
402,LUGARTH
403,MAGNI
404,MALAGUTI 
405,MAN
406,MARCOPOLO
407,Maxi-Dump
408,MAXIMA 
409,MAZ
410,METALPAR 
411,METALSUR 
412,MID BUS
413,MIDUAL 
414,MIDWEST
415,MINNEAPOLIS CUSTOM
416,MM INTERNATIONAL 
417,MOBY DYCK
418,MOCI 
419,MONDIAL
420,MORGANCORP
421,MOTO MORINI
422,MOTOBECANE
423,MCI
424,MOTOR UNION
425,MOXY 
426,MÜNCH
427,MV AUGUSTA
428,MYCSA
429,MZ / MUZ 
430,NABI 
431,NEOBUS 
432,NEOPLAN
433,NEW FLYER
434,NOGE 
435,NORTON 
436,OPTARE 
437,ORION
438,Overbilt 
439,PACAR
440,PANZER USA
441,Parker 
442,PAVLOVO
443,FISKER 
444,PLAXTON
445,POLARIS
446,POLINI 
447,PREVOST
448,PROCAR 
449,Quality Welding Service
450,REMOLQUES Y CONVERSIONES 
451,RENO 
452,RIDLEY 
453,RIEJU
454,ROGERS AND SONS PTY LTD
455,ROGUE/ATLAS
456,ROYAL ENFIELD
457,SALDIVIA 
458,SALVADOR CAETANO 
459,SANMARINO
460,SANOS
461,SEGUSA 
462,SETRA
463,SHERCO 
464,SILLER 
465,SITCAR 
466,SOLARIS
467,Sooner 
468,Sparta 
469,Specialty Trailer
470,STARTRANS
471,SUPERBUS 
472,SUTLEJ 
473,SYM
474,TACAMAR
475,TACASU 
476,Take 3 
477,Talbert
478,TASHER 
479,TECMOVIL 
480,THOMAS 
481,TITAN
482,Titan Trailers - 
483,TPD Trailers 
484,TRAILKING
485,Trails West
486,TrailTech
487,TRANS-SCHRYVER 
488,Travis 
489,TREMISA
490,Trout River
491,TTM
492,TÜRKKAR
493,TWIN EAGLE
494,U.S. Cargo
495,ULTRA
496,URAL 
497,URETASA
498,VANHOOL
499,VENTO
500,VICTORY
501,VOLGREN AUSTRALIA
502,VOR
503,VOXAN
504,Walker 
505,WEBASTO THERMO 
506,Wells Cargo
507,West Wind
508,WILD WEST
509,Winston
510,WORLD TRANS
511,WRIGHT 
512,XTRA-MEX 
513,ZASADA 
514,CACCIAMALI
515,AEON 
516,Beavertail Trailers
517,BIMOTA 
518,ALEXANDER DENNIS 
519,GAMBLER
520,GASGAS 
521,GILERA 
522,GLAS 
523,GOSHEN COACH 
524,Aapex Trailer
525,ACAPULCO 
526,ADACAR FERBEL
527,ADLER
528,ADLY 
529,AEROTEK
530,AGRALE 
531,AGUILAR
532,AGUIRRE
533,AJS
534,ALAN B DENNING ABD
535,ALCON
536,ALEK 
537,ALFA 
538,ALONSO 
539,ALLENDE
540,Allstate Trailers Inc. 
541,AMERICA
542,AMERICAN IRONHORSE
543,AMHER
544,ARQUIMOVIL
545,ATACA
546,AZTECA 
547,BALDERAS 
548,BARRERA
549,BENELLI
550,BERKHOF JONCKHEERE
551,BETA 
552,BIG DOG
553,BLUE BIRD
554,BOMBARDIER
555,BONANZA
556,BORILE 
557,BOVA 
558,BRIGHT COOP, INC 
559,Bri-Mar Trailers 
560,BRITTEN
561,BSA
562,BUELL
563,Built-Rite Trailers
564,BUS & COACH INTERNATIONAL
565,BUSAF
566,BUSSCAR
567,BUSTOS 
568,CAEMSA 
569,CAGIVA 
570,CALIFORNIA
571,CALIFORNIA CUSTOMS(CALCUSTOMS) 
572,CAMEZA 
573,CAMPAGNA 
574,CANNONDALE
575,CAPASA 
576,CARAVAN
577,CARDENAZ 
578,CARGO
579,CARROCERIAS REFRIGERADAS 
580,TAMPICO
581,CARROYUC 
582,CARRUS/VOLVO 
583,CARZA
584,CASTROSUA
585,CATAMEX
586,CAYPROMEMA
587,CCM
588,CECA 
589,DINAMO 
590,CMC
591,Coachcraft Mfg.
592,CODESI 
593,COLLINS
594,CONVERSIONES Y CARROCERIAS
595,CORP. CARROCERA
596,COYOTE 
597,CRUZ 
598,CUAUHTEMOC
599,CUELLAR
600,CUITLAHUAC
601,CUSTOM COACHES 
602,CYM NACIONAL 
603,CYMA 
604,CYMMET 
605,CHANG
606,CHANG-MING
607,CHIAPAS
608,GEELY
609,D & B
610,D¿MARYS
611,ROKON
612,DAKOTA MANUFACTURING, INC
613,DALTO
614,DALLAVIA 
615,DAYSTAR
616,DE LA COSTA
617,DE LUCIO 
618,DEL BAJIO
619,DEL CARMEN
620,DEL NORTE
621,DEL POZZO
622,DEL SURESTE
623,DEMSA
624,DENALI 
625,DESPERADO
626,DIAZ 
627,DISCAR 
628,Donahue Corporation
629,Double Delight Trailers
630,EL DORADO
631,EL TREBOL
632,ELCA 
633,ENRIQUEZ 
634,EUROCAR
635,EUROFRIGO
636,FENIX
637,FIJSA
638,FLORESTA 
639,Foster Premium Trailers
640,FRANCISCANAS 
641,FREY 
642,FRIGOMOVIL
643,FRIMAX 
644,FRONTERA 
645,GALLEGOS 
646,GAMEZ
647,GAMI 
648,GARCIA 
649,GARCIA Y GONZALEZ
650,GARRIDO
651,GENERAL DE PERFILES
652,GHEZZ&BRIAN
653,GIL AYALA
654,GILLIG 
655,GLAVAL BUS
656,GNOME E RHONE
657,GODINEZ
658,GONZALEZ 
659,GOOSENECK
660,GRAHAM 
661,GSM
662,GUAJARDO 
663,GUERRERO 
664,GUTSA
665,HEIL 
666,CHANG JIANG
667,HERCULES 
668,HERCUSA
669,HOFFMAN
670,HOLDEN 
671,HUAJUCO
672,HURTADO
673,HUSABERG 
674,HUSQVARNA
675,IARAPUATO
676,IDER 
677,Ifor Williams Trailers Ltd
678,IMPALA 
679,INCAMEX
680,INDUSTRIA METALICA DE CHIAPAS
681,INMAPECAR
682,INTERKAMP
683,INTERSEAL
684,ISRAEL 
685,JEHOVA 
686,JESCO
687,JORGHER
688,KUZZY
689,LA PIEDAD
690,LA TROJE 
691,LARA 
692,LEA
693,LEAL 
694,LEDEZMA
695,LEMSA
696,LOBOS
697,LOPEZ
698,LOZOYA 
699,LLAMAS 
700,MAQUENSA 
701,MARTINEZ 
702,MAX
703,MAYITO 
704,MC
705,MODERNAS 
706,MONTOYA
707,MORA 
708,NOLACOO
709,NUÑEZ
710,OAXACA 
711,OCAMPO 
712,OLIVER 
713,ORDOÑEZ
714,ORONA
715,PASEO
716,PEREA
717,PETER
718,PIMENTEL-TAMEZ 
719,PLASTIC DESIGN 
720,PLUS 
721,SOMEX/MASA
722,PRIETO 
723,PROACERO 
724,PROMAIN
725,QRTRO
726,RAMIREZ CARROCERIAS
727,RAYMSA 
728,REMADA 
729,RHC
730,RITSCHARR
731,ROBLEDO
732,ROCHA
733,RODAL
734,RUANO
735,RUIZ 
736,RYO
737,SAN ROBERTO
738,SANDOVAL 
739,SERVAL 
740,SOLCAR 
741,SORIA
742,SOTOMEX
743,TADEOS 
744,TANGAMANGA
745,TAURO
746,TERAN
747,THERMOKING
748,TOLUCA 
749,TORRESBACA
750,TRACTORENOVA 
751,TRANSFREZZER 
752,TRANSFRIO
753,TREVIÑO
754,TULANCINGO
755,URIVERA
756,VALENCIA 
757,VALENZUELA
758,VENEGAS
759,VILCHIS
760,VILLASEÑOR
761,VILLEGAS 
762,VRC
763,WONG 
764,YUNQUE 
765,ZAMEX
766,ZAPATA 
767,Century Trailer
768,SPYKER 
769,MBK
770,SVO
771,AIL
772,JINCHENG 
773,DONG TIAN
774,EXILE CYCLES 
775,HSV
776,GAZ
777,ZHEJIANG/VISITAASIASCOOTER
778,TANK 
779,MAYBACH
780,UD
781,FUSO 
782,TOROMEX
783,ZANETTI
784,SSC
785,ROXON
786,FODEN
787,KAMAJI 
788,ARGO 
789,CENTAUR
790,MAG
791,FOREST RIVER 
792,CARGO-MATE
793,STARCRAFT
794,FLEETWOOD
795,TORO 
796,EZGO 
797,GIANT
798,GULFSTREAM
799,NMC
800,BENGALA
801,SUKIDA 
802,LONCIN 
803,LEIKE
804,BLUEBIRD 
805,EAGER BEAVER 
806,EAST 
807,FONTAINE 
808,GREAT DANE
809,KENTUCKY 
811,PACE AMERICAN
812,STOUGHTON
813,STRICK 
815,TRAIL KING
816,TRANSCRAFT
817,WABASH NATIONAL
819,DINLI
820,DREAM
821,DUBAY
822,E-TON
823,HYOSUNG
824,KINETIC
825,LML
826,TVS
827,MUTANT 
828,SEADOO 
829,UM
830,ARCTIC CAT
831,BKM
832,DISCOVER 
833,IZUKA
834,VISAO
835,CHERY
836,DERBI
837,HUMBER 
838,ITALIKA
839,SUNDIRO
840,ANENS S.A. DE C.V.
841,ADEMES Y MAQUINARIA DE CUAUHTEMOC SA CV
842,AUTOS ESPECIALES DE MEXICO SA DE CV
843,AIH
844,AGROQUIMICA DEL NORTE
845,AUTOMOTRIZ PEYCHA SA DE CV
846,A CANC 
847,REMOLQUES AZTECA 
848,BAYKAL 
849,BRONCO 
850,BEPENSA
851,BARRUCHI 
852,CAN-AM 
853,CREACIONES AUTOMOTRICES NACIONALES
854,COMERCIAL TRACTOCAR DEL NORTE SA DE CV 
855,CUSHMAN
856,CATEGORIA UNICA
857,DEMOSTRACION 
858,DE SOTO
859,ANDATI 
860,EBY
861,ESCORT 
862,EUROMOTOS
863,FEDERTRAC
864,FAW
865,GEM
866,GRUPO IND. TRES ESTRELLAS SA CV
867,EL GORDO 
868,GRUPO RUVESA 
869,GREAT TIMBER 
870,GPO REM DEL NORTE SACV 
871,GEXA S A DE C V
872,HAULMARK 
873,HAOQING
874,INDUSTRIAS AGRICOLAS OLFERT SA DE CV 
875,INDUSTRIAS BANMAN SA DE CV
876,INDUSTRIAS AGRICOLAS DYCK
877,IMPLEMENTOS AGRICOLAS ENNS
878,INMOBILIARIA GARE DEL LITORAL SA DE CV 
879,INTRAMET 
880,IMPLEMENTOS BANENS SA CV 
881,INDUSTRIAS METALICAS TAURUS
882,INDUSTRIAS GONZALEZ SA DE CV 
883,JMG
884,KIA
885,KILOTON
886,KAPPER 
887,KARAVAN
888,LAMBRO 
889,INDUSTRIAS LUGARTH SA DE CV
891,MANUFACTURAS INDUSTRIALES GAMI 
892,MERKUR 
893,MOTORES Y ADAPTACIONES SA DE CV
894,MAPOSA 
895,MGR MEXICO SA DE CV
896,MASTER ROAD
897,META 
898,IMPORTADORA Y COMERCIALIZADORA NEUFELD 
899,NORTE E IMPLEMENTOS
900,INDUSTRIAS DEL NORTE DE CUAUHTEMOC SA CV 
901,NATSA
902,RODARE 
903,OJEDA MOTORS 
904,OTRAS MARCAS 
905,CHASIS Y AUTOPARTES OSHMEX SA CV 
906,OTTAWA 
907,PLATAFORMAS Y REMOLQUES CUAUHTEMOC
909,PJ TRAILER
910,APRISSA
911,POTENZA
912,PLATA YLLANES SA DE CV 
913,RED NECK 
914,CARROCERIAS GRECER
915,REIMER 
916,ROAD KING DE MEXICO SA DE CV 
917,REMOLQUES SA 
918,REMOLQUES NACIONALES S A 
919,REMOLQUES PANCHO 
920,REMOLQUES TACHO
921,REMOLQUES MUNOZ
922,SHERPA 
923,SINSKI 
924,SASAKI 
925,EL SOL 
926,SCOOTY 
927,SEAHAWK
928,SAYTO
929,CARROCERIAS SUMA 
930,BATAM
